사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Jul,2호선,40,신림,279,25,41755,4995,80170,22131,217412,35632,321143,64209,186232,53682,94811,42220,76815,43517,80271,50362,76816,57033,70059,64132,68184,83311,77754,96265,84099,138161,92989,253688,60939,229906,51610,139320,49816,129218,46092,125229,20389,90387,21,527,0,0,0,0,0,0
20-Jul,2호선,41,신대방,121,1,26638,2627,36921,9953,92790,18942,134753,34550,79477,21450,42653,16927,32773,17760,32381,20862,30727,23074,26942,26454,26758,35448,30257,40845,35257,58638,43651,94546,24807,82163,18554,53418,14163,56712,11107,57360,4682,37241,5,75,0,1,0,0,0,0
20-Jul,2호선,42,구로디지털단지,319,18,40656,7834,54426,26300,145454,81606,189057,272134,116920,162748,64602,61288,55931,46700,59901,46812,62586,52840,57050,55314,59826,65072,75064,70815,131943,105727,245542,166346,121815,138479,67662,84599,57533,83429,46943,82634,18091,54218,7,444,0,1,0,0,0,0
20-Jul,2호선,43,대림(구로구청),732,7,35178,4219,30120,12612,69069,24014,97690,62220,63810,37823,34946,30257,29536,29160,31546,28058,31414,28852,28706,30257,30324,38104,33651,41526,44241,58877,59862,75174,30508,56049,21256,38508,17089,48014,13054,49727,5778,24836,11,986,0,0,0,0,0,0
20-Jul,2호선,44,신도림,3592,43,37223,5450,52032,19129,140884,42768,141359,119467,87410,72630,56343,61417,54649,57375,62110,60330,64937,62691,64179,61599,67233,68729,76609,79058,101139,105915,137191,177339,79400,136711,66188,76026,69151,69591,52933,72594,22830,53560,61,16996,0,2,0,1,0,0
20-Jul,2호선,45,문래,4,0,3686,1757,13456,10630,45233,36523,46770,128241,25708,60478,18703,22389,17797,18589,19995,19844,21101,21765,21606,20652,23129,20971,28804,24342,51958,32369,109450,56255,39490,41745,25850,21991,25725,19076,21943,18324,8961,11124,7,891,0,0,0,0,0,0
20-Jul,2호선,46,영등포구청,39,0,5878,3012,14033,12959,43863,38222,48024,130872,29397,55111,21645,27299,22616,23102,23742,22718,25360,25960,26107,23978,28944,24644,33546,26720,52525,33867,113974,56216,38536,38751,27048,22189,26286,20331,20101,20243,7710,14075,5,961,0,0,0,0,0,0
20-Jul,2호선,47,당산,64,4,7189,3725,17749,13776,49819,30324,58770,85821,33617,40895,21842,20436,20997,18108,21560,19498,22295,21467,21005,21108,21860,24064,26497,29335,40827,43863,67238,77105,30662,54506,22693,33109,23606,30864,21187,29677,9115,21441,16,689,0,0,0,0,0,0
20-Jul,2호선,48,합정,82,1,8704,3211,18790,14915,45584,34739,57105,99618,36458,76559,25335,44505,26388,40379,29870,44120,34576,50315,35539,46732,38968,46146,47116,52530,70371,72299,116805,110939,71373,81057,54909,39750,66322,31756,68015,28681,29686,21734,20,942,2,3,0,0,0,0
20-Jul,2호선,49,홍대입구,534,13,19523,4118,25713,16185,62509,32173,76437,100236,48646,109670,35902,72593,41876,80251,49550,100242,60380,115766,62712,111972,75129,115207,97054,119184,124156,145500,161305,195940,121127,142666,117844,71239,145640,53950,158117,45389,67167,36000,397,6414,1,1,1,2,0,0
